population,Data Zone
622,S01001212
"1,019",S01001213
731,S01001214
728,S01001215
889,S01001216
"1,138",S01001217
816,S01001218
825,S01001219
503,S01001220
"1,679",S01001221
"1,064",S01001222
666,S01001223
968,S01001224
894,S01001225
541,S01001226
709,S01001227
747,S01001228
742,S01001229
670,S01001230
645,S01001231
"2,644",S01001232
901,S01001233
483,S01001234
864,S01001235
877,S01001236
542,S01001237
469,S01001238
573,S01001239
789,S01001240
601,S01001241
898,S01001242
"1,239",S01001243
841,S01001244
861,S01001245
992,S01001246
564,S01001247
772,S01001248
676,S01001249
915,S01001250
567,S01001251
586,S01001252
665,S01001253
644,S01001254
862,S01001255
697,S01001256
816,S01001257
609,S01001258
899,S01001259
898,S01001260
866,S01001261
917,S01001262
448,S01001263
"2,033",S01001264
572,S01001265
762,S01001266
966,S01001267
665,S01001268
530,S01001269
657,S01001270
671,S01001271
645,S01001272
724,S01001273
716,S01001274
679,S01001275
619,S01001276
706,S01001277
453,S01001278
610,S01001279
515,S01001280
728,S01001281
763,S01001282
522,S01001283
995,S01001284
645,S01001285
597,S01001286
755,S01001287
977,S01001288
737,S01001289
622,S01001290
549,S01001291
789,S01001292
772,S01001293
610,S01001294
782,S01001295
645,S01001296
807,S01001297
822,S01001298
802,S01001299
"1,204",S01001300
533,S01001301
803,S01001302
609,S01001303
"1,203",S01001304
761,S01001305
654,S01001306
"1,316",S01001307
925,S01001308
656,S01001309
689,S01001310
648,S01001311
709,S01001312
806,S01001313
727,S01001314
973,S01001315
876,S01001316
877,S01001317
518,S01001318
599,S01001319
870,S01001320
697,S01001321
900,S01001322
589,S01001323
958,S01001324
767,S01001325
850,S01001326
758,S01001327
844,S01001328
549,S01001329
790,S01001330
830,S01001331
868,S01001332
805,S01001333
849,S01001334
909,S01001335
813,S01001336
764,S01001337
698,S01001338
742,S01001339
739,S01001340
851,S01001341
869,S01001342
955,S01001343
700,S01001344
642,S01001345
659,S01001346
720,S01001347
640,S01001348
"1,320",S01001349
643,S01001350
496,S01001351
762,S01001352
"1,656",S01001353
732,S01001354
703,S01001355
637,S01001356
706,S01001357
905,S01001358
758,S01001359
"1,127",S01001360
622,S01001361
527,S01001362
570,S01001363
819,S01001364
614,S01001365
904,S01001366
669,S01001367
"1,233",S01001368
947,S01001369
816,S01001370
701,S01001371
652,S01001372
653,S01001373
506,S01001374
660,S01001375
792,S01001376
802,S01001377
575,S01001378
"1,030",S01001379
778,S01001380
802,S01001381
652,S01001382
554,S01001383
893,S01001384
949,S01001385
887,S01001386
905,S01001387
"1,387",S01001388
475,S01001389
793,S01001390
689,S01001391
792,S01001392
521,S01001393
461,S01001394
915,S01001395
811,S01001396
731,S01001397
788,S01001398
905,S01001399
926,S01001400
665,S01001401
801,S01001402
"1,202",S01001403
705,S01001404
"1,114",S01001405
"2,919",S01001406
759,S01001407
886,S01001408
838,S01001409
"1,037",S01001410
630,S01001411
832,S01001412
899,S01001413
642,S01001414
815,S01001415
671,S01001416
881,S01001417
797,S01001418
